weight,diameter,depth,porocytes,type
510,3500,10.4,20,Calcarea
490,3000,10.4,20,Calcarea
470,3200,10.3,20,Calcarea
460,3100,10.5,20,Calcarea
500,3600,10.4,20,Calcarea
540,3900,10.7,40,Calcarea
460,3400,10.4,30,Calcarea
500,3400,10.5,20,Calcarea
440,2900,10.4,20,Calcarea
490,3100,10.5,10,Calcarea
540,3700,10.5,20,Calcarea
480,3400,10.6,20,Calcarea
480,3000,,10,Calcarea
430,3000,10.1,10,Calcarea
580,4000,10.2,20,Calcarea
570,4400,10.5,40,Calcarea
540,3900,10.3,40,Calcarea
510,3500,10.4,30,Calcarea
570,3800,10.7,30,Calcarea
510,3800,10.5,30,Calcarea
540,3400,10.7,20,Calcarea
510,3700,10.5,40,Calcarea
460,3600,10,20,Calcarea
510,3300,10.7,50,Calcarea
480,3400,10.9,20,Calcarea
500,3000,10.6,20,Calcarea
500,3400,10.6,40,Calcarea
520,3500,10.5,20,Calcarea
520,3400,10.4,20,Calcarea
470,3200,10.6,20,Calcarea
480,3100,10.6,20,Calcarea
540,3400,10.5,40,Calcarea
520,4100,10.5,10,Calcarea
550,4200,10.4,20,Calcarea
490,3100,10.5,20,Calcarea
500,3200,10.2,20,Calcarea
550,3500,10.3,20,Calcarea
490,3600,10.4,10,Calcarea
440,3000,10.3,20,Calcarea
510,3400,10.5,20,Calcarea
500,3500,10.3,30,Calcarea
450,2300,10.3,30,Calcarea
440,3200,10.3,20,Calcarea
500,3500,10.6,60,Calcarea
510,3800,10.9,40,Calcarea
480,3000,10.4,30,Calcarea
510,3800,10.6,20,Calcarea
460,3200,10.4,20,Calcarea
530,3700,10.5,20,Calcarea
500,3300,10.4,20,Calcarea
700,3200,40.7,14,Hexactinellida
640,3200,40.5,15,Hexactinellida
690,3100,40.9,15,Hexactinellida
550,2300,40,13,Hexactinellida
650,2800,40.6,15,Hexactinellida
570,2800,40.5,13,Hexactinellida
630,3300,40.7,16,Hexactinellida
490,2400,30.3,10,Hexactinellida
660,2900,40.6,13,Hexactinellida
520,2700,30.9,14,Hexactinellida
500,2000,30.5,10,Hexactinellida
590,3000,40.2,15,Hexactinellida
600,2200,40,,Hexactinellida
610,2900,40.7,14,Hexactinellida
560,2900,30.6,13,Hexactinellida
670,3100,40.4,14,Hexactinellida
560,3000,40.5,15,Hexactinellida
580,2700,40.1,10,Hexactinellida
620,2200,40.5,15,Hexactinellida
560,2500,30.9,11,Hexactinellida
590,3200,40.8,18,Hexactinellida
610,2800,40,13,Hexactinellida
630,2500,40.9,15,Hexactinellida
610,2800,40.7,12,Hexactinellida
640,2900,40.3,13,Hexactinellida
660,3000,40.4,14,Hexactinellida
680,2800,40.8,14,Hexactinellida
670,3000,50,17,Hexactinellida
600,2900,40.5,15,Hexactinellida
570,2600,30.5,10,Hexactinellida
550,2400,30.8,11,Hexactinellida
550,2400,30.7,10,Hexactinellida
580,2700,30.9,12,Hexactinellida
600,2700,50.1,16,Hexactinellida
540,3000,40.5,15,Hexactinellida
600,3400,40.5,16,Hexactinellida
670,3100,40.7,15,Hexactinellida
630,2300,40.4,13,Hexactinellida
560,3000,40.1,13,Hexactinellida
550,2500,40,13,Hexactinellida
550,2600,40.4,12,Hexactinellida
610,3000,40.6,14,Hexactinellida
580,2600,40,12,Hexactinellida
500,2300,30.3,10,Hexactinellida
560,2700,40.2,13,Hexactinellida
570,3000,40.2,12,Hexactinellida
570,2900,40.2,13,Hexactinellida
620,2900,40.3,13,Hexactinellida
510,2500,30,11,Hexactinellida
570,2800,40.1,13,Hexactinellida
630,3300,60,45,Demospongiae
580,2700,50.1,39,Demospongiae
710,3000,50.9,41,Demospongiae
630,2900,50.6,48,Demospongiae
650,3000,50.8,42,Demospongiae
760,3000,60.6,41,Demospongiae
490,2500,40.5,47,Demospongiae
730,2900,60.3,48,Demospongiae
670,2500,50.8,48,Demospongiae
720,3600,60.1,45,Demospongiae
650,3200,50.1,40,Demospongiae
640,2700,50.3,49,Demospongiae
680,3000,50.5,41,Demospongiae
570,2500,50,40,Demospongiae
,2800,50.1,44,Demospongiae
640,3200,50.3,43,Demospongiae
650,3000,50.5,38,Demospongiae
770,3800,60.7,52,Demospongiae
770,2600,60.9,43,Demospongiae
600,2200,50,45,Demospongiae
690,3200,50.7,43,Demospongiae
560,2800,40.9,40,Demospongiae
770,2800,60.7,40,Demospongiae
630,2700,40.9,48,Demospongiae
670,3300,50.7,41,Demospongiae
720,3200,60,48,Demospongiae
620,2800,40.8,48,Demospongiae
610,3000,40.9,48,Demospongiae
640,2800,50.6,41,Demospongiae
720,3000,50.8,46,Demospongiae
740,2800,60.1,49,Demospongiae
790,3800,60.4,40,Demospongiae
640,2800,50.6,42,Demospongiae
630,2800,50.1,45,Demospongiae
610,2600,50.6,44,Demospongiae
770,3000,60.1,43,Demospongiae
630,3400,50.6,44,Demospongiae
640,3100,50.5,48,Demospongiae
600,3000,40.8,48,Demospongiae
690,3100,50.4,41,Demospongiae
670,3100,50.6,44,Demospongiae
690,3100,50.1,43,Demospongiae
580,2700,50.1,49,Demospongiae
680,3200,,43,Demospongiae
670,3300,50.7,45,Demospongiae
670,3000,50.2,43,Demospongiae
630,,50,49,Demospongiae
650,3000,50.2,40,Demospongiae
620,3400,50.4,43,Demospongiae
590,3000,50.1,48,Demospongiae
